/release/rl810845697/?ref_=bo_yld_table_22,G.I. Joe: Retaliation,|$122,523,060|,|3,734|,|$122,523,060|,Mar 28,https://pro.imdb.com/company/co0023400/boxoffice/?view=releases&ref_=mojo_yld_table_22&rf=mojo_yld_table_22,Paramount Pictures
/release/rl3597108737/?ref_=bo_yld_table_23,Now You See Me,|$117,723,989|,|3,082|,|$117,723,989|,May 31,https://pro.imdb.com/company/co0173285/boxoffice/?view=releases&ref_=mojo_yld_table_23&rf=mojo_yld_table_23,Lionsgate
/release/rl55215617/?ref_=bo_yld_table_24,Cloudy With a Chance of Meatballs 2,|$116,857,454|,|4,001|,|$119,793,567|,Sep 27,https://pro.imdb.com/company/co0026545/boxoffice/?view=releases&ref_=mojo_yld_table_24&rf=mojo_yld_table_24,Sony Pictures Entertainment (SPE)
/release/rl3712583169/?ref_=bo_yld_table_25,Lee Daniels' The Butler,|$116,180,128|,|3,330|,|$116,632,095|,Aug 16,https://pro.imdb.com/company/co0150452/boxoffice/?view=releases&ref_=mojo_yld_table_25&rf=mojo_yld_table_25,The Weinstein Company
/release/rl659981825/?ref_=bo_yld_table_26,The Hangover Part III,|$112,200,072|,|3,565|,|$112,200,072|,May 23,https://pro.imdb.com/company/co0002663/boxoffice/?view=releases&ref_=mojo_yld_table_26&rf=mojo_yld_table_26,Warner Bros.
/release/rl3495921153/?ref_=bo_yld_table_27,Epic,|$107,518,682|,|3,894|,|$107,518,682|,May 24,https://pro.imdb.com/company/co0000756/boxoffice/?view=releases&ref_=mojo_yld_table_27&rf=mojo_yld_table_27,Twentieth Century Fox
/release/rl1883801089/?ref_=bo_yld_table_28,Captain Phillips,|$104,638,057|,|3,143|,|$107,100,855|,Oct 11,https://pro.imdb.com/company/co0026545/boxoffice/?view=releases&ref_=mojo_yld_table_28&rf=mojo_yld_table_28,Sony Pictures Entertainment (SPE)
/release/rl1332839937/?ref_=bo_yld_table_29,Silver Linings Playbook,|$103,633,972|,|2,809|,|$132,092,958|,Nov 16,https://pro.imdb.com/company/co0150452/boxoffice/?view=releases&ref_=mojo_yld_table_29&rf=mojo_yld_table_29,The Weinstein Company
/release/rl1399424513/?ref_=bo_yld_table_30,Pacific Rim,|$101,802,906|,|3,285|,|$101,802,906|,Jul 12,https://pro.imdb.com/company/co0002663/boxoffice/?view=releases&ref_=mojo_yld_table_30&rf=mojo_yld_table_30,Warner Bros.
/release/rl2842461697/?ref_=bo_yld_table_31,This Is the End,|$101,470,202|,|3,055|,|$101,470,202|,Jun 12,https://pro.imdb.com/company/co0026545/boxoffice/?view=releases&ref_=mojo_yld_table_31&rf=mojo_yld_table_31,Sony Pictures Entertainment (SPE)
