/release/rl1265337857/?ref_=bo_yld_table_1,Harry Potter and the Deathly Hallows: Part 2,|$381,011,219|,|4,375|,|$381,011,219|,Jul 15,https://pro.imdb.com/company/co0002663/boxoffice/?view=releases&ref_=mojo_yld_table_1&rf=mojo_yld_table_1,Warner Bros.
/release/rl2977400321/?ref_=bo_yld_table_2,Transformers: Dark of the Moon,|$352,390,543|,|4,088|,|$352,390,543|,Jun 29,https://pro.imdb.com/company/co0040938/boxoffice/?view=releases&ref_=mojo_yld_table_2&rf=mojo_yld_table_2,DreamWorks
/release/rl3292956161/?ref_=bo_yld_table_3,The Twilight Saga: Breaking Dawn - Part 1,|$274,841,954|,|4,066|,|$281,287,133|,Nov 18,https://pro.imdb.com/company/co0046206/boxoffice/?view=releases&ref_=mojo_yld_table_3&rf=mojo_yld_table_3,Summit Entertainment
/release/rl408323585/?ref_=bo_yld_table_4,The Hangover Part II,|$254,464,305|,|3,675|,|$254,464,305|,May 26,https://pro.imdb.com/company/co0002663/boxoffice/?view=releases&ref_=mojo_yld_table_4&rf=mojo_yld_table_4,Warner Bros.
/release/rl4117267969/?ref_=bo_yld_table_5,Pirates of the Caribbean: On Stranger Tides,|$241,071,802|,|4,164|,|$241,071,802|,May 20,https://pro.imdb.com/company/co0226183/boxoffice/?view=releases&ref_=mojo_yld_table_5&rf=mojo_yld_table_5,Walt Disney Studios Motion Pictures
/release/rl877889025/?ref_=bo_yld_table_6,Fast Five,|$209,837,675|,|3,793|,|$209,837,675|,Apr 29,https://pro.imdb.com/company/co0005073/boxoffice/?view=releases&ref_=mojo_yld_table_6&rf=mojo_yld_table_6,Universal Pictures
/release/rl3091760641/?ref_=bo_yld_table_7,Cars 2,|$191,452,396|,|4,115|,|$191,452,396|,Jun 24,https://pro.imdb.com/company/co0226183/boxoffice/?view=releases&ref_=mojo_yld_table_7&rf=mojo_yld_table_7,Walt Disney Studios Motion Pictures
/release/rl3094644225/?ref_=bo_yld_table_8,Thor,|$181,030,624|,|3,963|,|$181,030,624|,May 6,https://pro.imdb.com/company/co0023400/boxoffice/?view=releases&ref_=mojo_yld_table_8&rf=mojo_yld_table_8,Paramount Pictures
/release/rl225216001/?ref_=bo_yld_table_9,Rise of the Planet of the Apes,|$176,760,185|,|3,691|,|$176,760,185|,Aug 5,https://pro.imdb.com/company/co0000756/boxoffice/?view=releases&ref_=mojo_yld_table_9&rf=mojo_yld_table_9,Twentieth Century Fox
/release/rl1900578305/?ref_=bo_yld_table_10,Captain America: The First Avenger,|$176,654,505|,|3,715|,|$176,654,505|,Jul 22,https://pro.imdb.com/company/co0023400/boxoffice/?view=releases&ref_=mojo_yld_table_10&rf=mojo_yld_table_10,Paramount Pictures
/release/rl626624001/?ref_=bo_yld_table_11,The Help,|$169,480,526|,|3,014|,|$169,708,112|,Aug 10,https://pro.imdb.com/company/co0226183/boxoffice/?view=releases&ref_=mojo_yld_table_11&rf=mojo_yld_table_11,Walt Disney Studios Motion Pictures
/release/rl2000848385/?ref_=bo_yld_table_12,Bridesmaids,|$169,106,725|,|2,958|,|$169,106,725|,May 13,https://pro.imdb.com/company/co0005073/boxoffice/?view=releases&ref_=mojo_yld_table_12&rf=mojo_yld_table_12,Universal Pictures
/release/rl3579610625/?ref_=bo_yld_table_13,Kung Fu Panda 2,|$165,249,063|,|3,952|,|$165,249,063|,May 26,https://pro.imdb.com/company/co0040938/boxoffice/?view=releases&ref_=mojo_yld_table_13&rf=mojo_yld_table_13,DreamWorks
/release/rl1434093057/?ref_=bo_yld_table_14,X-Men: First Class,|$146,408,305|,|3,692|,|$146,408,305|,Jun 3,https://pro.imdb.com/company/co0000756/boxoffice/?view=releases&ref_=mojo_yld_table_14&rf=mojo_yld_table_14,Twentieth Century Fox
/release/rl1214940673/?ref_=bo_yld_table_15,Puss in Boots,|$145,250,950|,|3,963|,|$149,260,504|,Oct 28,https://pro.imdb.com/company/co0040938/boxoffice/?view=releases&ref_=mojo_yld_table_15&rf=mojo_yld_table_15,DreamWorks
/release/rl292324865/?ref_=bo_yld_table_16,Rio,|$143,619,709|,|3,842|,|$143,619,809|,Apr 15,https://pro.imdb.com/company/co0000756/boxoffice/?view=releases&ref_=mojo_yld_table_16&rf=mojo_yld_table_16,Twentieth Century Fox
/release/rl292587009/?ref_=bo_yld_table_17,The Smurfs,|$142,614,158|,|3,427|,|$142,614,158|,Jul 29,https://pro.imdb.com/company/co0026545/boxoffice/?view=releases&ref_=mojo_yld_table_17&rf=mojo_yld_table_17,Sony Pictures Entertainment (SPE)
/release/rl2255652353/?ref_=bo_yld_table_18,Super 8,|$127,004,179|,|3,424|,|$127,004,179|,Jun 10,https://pro.imdb.com/company/co0023400/boxoffice/?view=releases&ref_=mojo_yld_table_18&rf=mojo_yld_table_18,Paramount Pictures
/release/rl3614344705/?ref_=bo_yld_table_19,Sherlock Holmes: A Game of Shadows,|$124,051,629|,|3,703|,|$186,848,418|,Dec 16,https://pro.imdb.com/company/co0002663/boxoffice/?view=releases&ref_=mojo_yld_table_19&rf=mojo_yld_table_19,Warner Bros.
/release/rl3479864833/?ref_=bo_yld_table_20,Rango,|$123,477,607|,|3,923|,|$123,477,607|,Mar 4,https://pro.imdb.com/company/co0023400/boxoffice/?view=releases&ref_=mojo_yld_table_20&rf=mojo_yld_table_20,Paramount Pictures
/release/rl1365411329/?ref_=bo_yld_table_21,Mission: Impossible - Ghost Protocol,|$122,347,325|,|3,555|,|$209,397,903|,Dec 16,https://pro.imdb.com/company/co0023400/boxoffice/?view=releases&ref_=mojo_yld_table_21&rf=mojo_yld_table_21,Paramount Pictures
/release/rl3042739713/?ref_=bo_yld_table_22,The King's Speech,|$117,779,109|,|2,584|,|$135,453,143|,Nov 26,https://pro.imdb.com/company/co0150452/boxoffice/?view=releases&ref_=mojo_yld_table_22&rf=mojo_yld_table_22,The Weinstein Company
/release/rl576226817/?ref_=bo_yld_table_23,Horrible Bosses,|$117,538,559|,|3,134|,|$117,538,559|,Jul 8,https://pro.imdb.com/company/co0002663/boxoffice/?view=releases&ref_=mojo_yld_table_23&rf=mojo_yld_table_23,Warner Bros.
/release/rl1280804353/?ref_=bo_yld_table_24,Green Lantern,|$116,601,172|,|3,816|,|$116,601,172|,Jun 17,https://pro.imdb.com/company/co0002663/boxoffice/?view=releases&ref_=mojo_yld_table_24&rf=mojo_yld_table_24,Warner Bros.
/release/rl391874049/?ref_=bo_yld_table_25,Hop,|$108,085,305|,|3,616|,|$108,085,305|,Apr 1,https://pro.imdb.com/company/co0005073/boxoffice/?view=releases&ref_=mojo_yld_table_25&rf=mojo_yld_table_25,Universal Pictures
/release/rl2624161281/?ref_=bo_yld_table_26,Paranormal Activity 3,|$103,971,383|,|3,329|,|$104,028,807|,Oct 21,https://pro.imdb.com/company/co0023400/boxoffice/?view=releases&ref_=mojo_yld_table_26&rf=mojo_yld_table_26,Paramount Pictures
/release/rl2456520193/?ref_=bo_yld_table_27,Just Go with It,|$103,028,109|,|3,548|,|$103,028,109|,Feb 11,https://pro.imdb.com/company/co0026545/boxoffice/?view=releases&ref_=mojo_yld_table_27&rf=mojo_yld_table_27,Sony Pictures Entertainment (SPE)
/release/rl3564602881/?ref_=bo_yld_table_28,True Grit,|$100,822,882|,|3,464|,|$171,243,005|,Dec 22,https://pro.imdb.com/company/co0023400/boxoffice/?view=releases&ref_=mojo_yld_table_28&rf=mojo_yld_table_28,Paramount Pictures
/release/rl1095075329/?ref_=bo_yld_table_29,Bad Teacher,|$100,292,856|,|3,049|,|$100,292,856|,Jun 24,https://pro.imdb.com/company/co0026545/boxoffice/?view=releases&ref_=mojo_yld_table_29&rf=mojo_yld_table_29,Sony Pictures Entertainment (SPE)
/release/rl2085455361/?ref_=bo_yld_table_30,Cowboys & Aliens,|$100,240,551|,|3,754|,|$100,240,551|,Jul 29,https://pro.imdb.com/company/co0005073/boxoffice/?view=releases&ref_=mojo_yld_table_30&rf=mojo_yld_table_30,Universal Pictures
/release/rl1515488769/?ref_=bo_yld_table_31,Gnomeo & Juliet,|$99,967,673|,|3,037|,|$99,967,670|,Feb 11,https://pro.imdb.com/company/co0226183/boxoffice/?view=releases&ref_=mojo_yld_table_31&rf=mojo_yld_table_31,Walt Disney Studios Motion Pictures
/release/rl1247249921/?ref_=bo_yld_table_32,The Green Hornet,|$98,780,042|,|3,584|,|$98,780,042|,Jan 14,https://pro.imdb.com/company/co0026545/boxoffice/?view=releases&ref_=mojo_yld_table_32&rf=mojo_yld_table_32,Sony Pictures Entertainment (SPE)
/release/rl3713959425/?ref_=bo_yld_table_33,The Lion King,|$94,231,005|,|2,340|,|$94,242,001|,Sep 16,https://pro.imdb.com/company/co0226183/boxoffice/?view=releases&ref_=mojo_yld_table_33&rf=mojo_yld_table_33,Walt Disney Studios Motion Pictures
/release/rl1766032897/?ref_=bo_yld_table_34,Alvin and the Chipmunks: Chipwrecked,|$88,151,196|,|3,734|,|$133,110,742|,Dec 16,https://pro.imdb.com/company/co0000756/boxoffice/?view=releases&ref_=mojo_yld_table_34&rf=mojo_yld_table_34,Twentieth Century Fox
/release/rl275613185/?ref_=bo_yld_table_35,Real Steel,|$84,367,160|,|3,440|,|$85,468,508|,Oct 7,https://pro.imdb.com/company/co0226183/boxoffice/?view=releases&ref_=mojo_yld_table_35&rf=mojo_yld_table_35,Walt Disney Studios Motion Pictures
/release/rl1515030017/?ref_=bo_yld_table_36,|Crazy, Stupid, Love|,|$84,351,197|,|3,020|,|$84,351,197|,Jul 29,https://pro.imdb.com/company/co0002663/boxoffice/?view=releases&ref_=mojo_yld_table_36&rf=mojo_yld_table_36,Warner Bros.
/release/rl3225781761/?ref_=bo_yld_table_37,Battle Los Angeles,|$83,552,429|,|3,417|,|$83,552,429|,Mar 11,https://pro.imdb.com/company/co0026545/boxoffice/?view=releases&ref_=mojo_yld_table_37&rf=mojo_yld_table_37,Sony Pictures Entertainment (SPE)
/release/rl779650561/?ref_=bo_yld_table_38,Immortals,|$82,603,008|,|3,120|,|$83,504,017|,Nov 11,https://pro.imdb.com/company/co0142678/boxoffice/?view=releases&ref_=mojo_yld_table_38&rf=mojo_yld_table_38,Relativity Media
/release/rl3445982721/?ref_=bo_yld_table_39,The Muppets,|$81,795,283|,|3,440|,|$88,631,237|,Nov 23,https://pro.imdb.com/company/co0226183/boxoffice/?view=releases&ref_=mojo_yld_table_39&rf=mojo_yld_table_39,Walt Disney Studios Motion Pictures
/release/rl880641537/?ref_=bo_yld_table_40,Zookeeper,|$80,360,843|,|3,482|,|$80,360,843|,Jul 8,https://pro.imdb.com/company/co0026545/boxoffice/?view=releases&ref_=mojo_yld_table_40&rf=mojo_yld_table_40,Sony Pictures Entertainment (SPE)
/release/rl139232769/?ref_=bo_yld_table_41,Limitless,|$79,249,455|,|2,838|,|$79,249,455|,Mar 18,https://pro.imdb.com/company/co0142678/boxoffice/?view=releases&ref_=mojo_yld_table_41&rf=mojo_yld_table_41,Relativity Media
/release/rl1668777473/?ref_=bo_yld_table_42,Tower Heist,|$76,650,420|,|3,370|,|$78,046,570|,Nov 4,https://pro.imdb.com/company/co0005073/boxoffice/?view=releases&ref_=mojo_yld_table_42&rf=mojo_yld_table_42,Universal Pictures
/release/rl3595208193/?ref_=bo_yld_table_43,Contagion,|$75,658,097|,|3,222|,|$75,658,097|,Sep 9,https://pro.imdb.com/company/co0002663/boxoffice/?view=releases&ref_=mojo_yld_table_43&rf=mojo_yld_table_43,Warner Bros.
/release/rl459638273/?ref_=bo_yld_table_44,Moneyball,|$74,896,695|,|3,018|,|$75,605,492|,Sep 23,https://pro.imdb.com/company/co0026545/boxoffice/?view=releases&ref_=mojo_yld_table_44&rf=mojo_yld_table_44,Sony Pictures Entertainment (SPE)
