ReleaseURL,Release,Gross,Theaters,TotalGross,ReleaseDate,DistributorURL,Distributor,datetime,Month
/release/rl609715713/?ref_=bo_yld_table_190,Grace Unplugged,"$2,507,201",511,"$2,507,201",Oct 4,https://pro.imdb.com/company/co0017716/boxoffice/?view=releases&ref_=mojo_yld_table_190&rf=mojo_yld_table_190,Roadside Attractions,2013-10-04,10
/release/rl2960098817/?ref_=bo_yld_table_191,The Sapphires,"$2,450,867",126,"$2,450,867",Mar 22,https://pro.imdb.com/company/co0150452/boxoffice/?view=releases&ref_=mojo_yld_table_191&rf=mojo_yld_table_191,The Weinstein Company,2013-03-22,3
/release/rl2891286017/?ref_=bo_yld_table_192,The Gatekeepers,"$2,415,727",131,"$2,415,727",Feb 1,https://pro.imdb.com/company/co0014453/boxoffice/?view=releases&ref_=mojo_yld_table_192&rf=mojo_yld_table_192,Sony Pictures Classics,2013-02-01,2
/release/rl2152433153/?ref_=bo_yld_table_193,I'm in Love with a Church Girl,"$2,387,730",458,"$2,387,730",Oct 18,https://pro.imdb.com/company/co0423848/boxoffice/?view=releases&ref_=mojo_yld_table_193&rf=mojo_yld_table_193,High Top Releasing,2013-10-18,10
/release/rl1214744065/?ref_=bo_yld_table_194,No,"$2,343,664",99,"$2,343,664",Feb 15,https://pro.imdb.com/company/co0014453/boxoffice/?view=releases&ref_=mojo_yld_table_194&rf=mojo_yld_table_194,Sony Pictures Classics,2013-02-15,2
/release/rl3161949697/?ref_=bo_yld_table_195,Trance,"$2,328,743",443,"$2,328,743",Apr 5,https://pro.imdb.com/company/co0028932/boxoffice/?view=releases&ref_=mojo_yld_table_195&rf=mojo_yld_table_195,Fox Searchlight Pictures,2013-04-05,4
/release/rl995198465/?ref_=bo_yld_table_196,The East,"$2,301,839",195,"$2,301,839",May 31,https://pro.imdb.com/company/co0028932/boxoffice/?view=releases&ref_=mojo_yld_table_196&rf=mojo_yld_table_196,Fox Searchlight Pictures,2013-05-31,5
/release/rl2808972801/?ref_=bo_yld_table_197,Renoir,"$2,293,798",86,"$2,293,798",Mar 29,https://pro.imdb.com/company/co0016710/boxoffice/?view=releases&ref_=mojo_yld_table_197&rf=mojo_yld_table_197,The Samuel Goldwyn Company,2013-03-29,3
/release/rl2689304065/?ref_=bo_yld_table_198,The Christmas Candle,"$2,252,400",392,"$2,258,620",Nov 15,https://pro.imdb.com/company/co0391226/boxoffice/?view=releases&ref_=mojo_yld_table_198&rf=mojo_yld_table_198,EchoLight Studios,2013-11-15,11
/release/rl3831268865/?ref_=bo_yld_table_199,Krrish 3,"$2,191,534",208,"$2,191,534",Nov 1,https://pro.imdb.com/company/co0050176/boxoffice/?view=releases&ref_=mojo_yld_table_199&rf=mojo_yld_table_199,Eros International,2013-11-01,11
